date,head,Item,Amount,Total,Tax
05/11/18,ee,hamachi collar,12.0,,
05/11/18,ee,mega poke bowl,17.0,,
05/11/18,ee,hamachi - sashimi,12.0,,
05/11/18,ee,maguro - sashimi,11.0,,
05/11/18,ee,salmon - sashimi,10.0,,
05/11/18,ee,hamachi japapeno,12.0,,
05/11/18,ee,salmon collar,10.0,,
05/11/18,ee,escolar - sashimi,11.0,,
05/11/18,ee,total,0.0,143.71,
05/11/18,ee,hamachi collar,12.0,,
05/11/18,ee,mega poke bowl,17.0,,
05/11/18,ee,hamachi - sashimi,12.0,,
05/11/18,ee,maguro - sashimi,11.0,,
05/11/18,ee,salmon - sashimi,10.0,,
05/11/18,ee,hamachi japapeno,12.0,,
05/11/18,ee,salmon collar,10.0,,
05/11/18,ee,escolar - sashimi,11.0,,
05/11/18,ee,total,0.0,143.71,
05/11/18,ee,hamachi collar,12.0,,
05/11/18,ee,mega poke bowl,17.0,,
05/11/18,ee,hamachi - sashimi,12.0,,
05/11/18,ee,maguro - sashimi,11.0,,
05/11/18,ee,salmon - sashimi,10.0,,
05/11/18,ee,hamachi japapeno,12.0,,
05/11/18,ee,salmon collar,10.0,,
05/11/18,ee,escolar - sashimi,11.0,,
05/11/18,ee,total,0.0,143.71,
05/11/18,ee,hamachi collar,12.0,,
05/11/18,ee,mega poke bowl,17.0,,
05/11/18,ee,hamachi - sashimi,12.0,,
05/11/18,ee,maguro - sashimi,11.0,,
05/11/18,ee,salmon - sashimi,10.0,,
05/11/18,ee,hamachi japapeno,12.0,,
05/11/18,ee,salmon collar,10.0,,
05/11/18,ee,escolar - sashimi,11.0,,
05/11/18,ee,total,0.0,143.71,
05/11/18,ee,hamachi collar,12.0,,
05/11/18,ee,mega poke bowl,17.0,,
05/11/18,ee,hamachi - sashimi,12.0,,
05/11/18,ee,maguro - sashimi,11.0,,
05/11/18,ee,salmon - sashimi,10.0,,
05/11/18,ee,hamachi japapeno,12.0,,
05/11/18,ee,salmon collar,10.0,,
05/11/18,ee,escolar - sashimi,11.0,,
05/11/18,ee,total,0.0,143.71,
05/11/18,ee,hamachi collar,12.0,,
05/11/18,ee,mega poke bowl,17.0,,
05/11/18,ee,hamachi - sashimi,12.0,,
05/11/18,ee,maguro - sashimi,11.0,,
05/11/18,ee,salmon - sashimi,10.0,,
05/11/18,ee,hamachi japapeno,12.0,,
05/11/18,ee,salmon collar,10.0,,
05/11/18,ee,escolar - sashimi,11.0,,
05/11/18,ee,total,0.0,143.71,
